a1, a2, a3
-0.005493164, -0.02978516, 0.9651489
-0.002197266, -0.03198242, 0.9689941
-0.002929688, -0.03039551, 0.9682007
0.3391724, -0.04925537, 0.9783936
-0.01190186, -0.1661987, 0.9647217
-0.3780518, -0.04602051, 0.9364014
0.004516602, -0.03283691, 0.9688721
-0.008056641, -0.03521729, 0.9662476
-0.003051758, -0.03442383, 0.9712524
-0.004577637, -0.03527832, 0.9667358
-0.004089355, -0.03302002, 0.9696655
-0.004638672, -0.03204346, 0.9672241
-0.003173828, -0.03363037, 0.9669189
-0.004211426, -0.03411865, 0.9692383
-0.003967285, -0.03338623, 0.9665527
-0.01037598, -0.04064941, 0.9672852
-0.01141357, -0.0345459, 0.9678345
-0.01550293, -0.04748535, 0.9707031
-0.02124023, -0.03961182, 0.9679565
-0.01434326, -0.04748535, 0.9659424
-0.04174805, -0.04016113, 0.9632568
-0.06066895, -0.03503418, 0.9619751
-0.03393555, -0.03125, 0.9664917
0.02709961, -0.04364014, 0.9683838
0.06719971, -0.0333252, 0.9671631
0.07696533, -0.03668213, 0.9672852
0.05059814, -0.03741455, 0.9684448
-0.006652832, -0.03295898, 0.96875
-0.005371094, -0.03387451, 0.9663696
-0.00579834, -0.0355835, 0.9661255
-0.006835938, -0.03417969, 0.9700317
-0.004943848, -0.03289795, 0.9673462
-0.002746582, -0.03271484, 0.9668579
0.01434326, -0.02868652, 0.9663086
0.00201416, -0.03857422, 0.9673462
0.03814697, -0.03204346, 0.9702148
0.0680542, -0.02606201, 0.9674683
0.02990723, -0.03509521, 0.9724121
0.0534668, -0.02929688, 0.9755249
0.0001220703, -0.02868652, 0.9672241
-0.1295776, -0.03106689, 0.9658203
-0.1462402, -0.06396484, 0.9569702
-0.08575439, -0.04528809, 0.963501
-0.01263428, -0.03137207, 0.9682617
-0.009460449, -0.03381348, 0.96698
-0.00970459, -0.03161621, 0.9656982
-0.008544922, -0.034729, 0.9692383
-0.008117676, -0.03424072, 0.9645996
-0.008117676, -0.03149414, 0.9689331
-0.04046631, -0.01483154, 0.9665527
-0.008789063, -0.04528809, 0.9677124
-0.01153564, -0.03948975, 0.965332
-0.09667969, -0.001281738, 0.9606323
-0.08319092, -0.0435791, 0.9661865
-0.117981, -0.03137207, 0.9638062
-0.1026001, -0.06604004, 0.960144
0.1300049, -0.03552246, 0.968811
0.1895142, 0.0078125, 0.972229
0.1165771, -0.01043701, 0.9705811
-0.007080078, -0.03588867, 0.9660645
-0.008117676, -0.04034424, 0.9685669
-0.02325439, -0.03741455, 0.96521
-0.1386108, -0.02288818, 0.9672241
0.1581421, -0.01245117, 0.9764404
0.001831055, -0.03515625, 0.9647217
0.007080078, -0.03088379, 0.9661255
0.005187988, -0.03149414, 0.9668579
0.003173828, -0.03283691, 0.9673462
0.00378418, -0.03424072, 0.9658813
0.003356934, -0.03204346, 0.967041
0.002807617, -0.03375244, 0.9673462
0.001342773, -0.03118896, 0.9690552
0.001403809, -0.03088379, 0.9661255
0.004150391, -0.03607178, 0.9697876
0.0009765625, -0.03363037, 0.9677734
